"","Orthography","Lexeme","Tense","Aspect","Person","Number","Gender","Class","Mood","Phon","Phon2","Syllables"
"1","j'abandonne","abandonner","present",NA,"p1","singular","common","action","indicative","Z_ab@dOn","Zab@dOn","Za-b@-dOn"
"2","tu abandonnes","abandonner","present",NA,"p2","singular","common","action","indicative","ty_ab@dOn","tyab@dOn","ty-a-b@-dOn"
"3","il abandonne","abandonner","present",NA,"p3","singular","masculin","action","indicative","il_ab@dOn","ilab@dOn","i-la-b@-dOn"
"4","elle abandonne","abandonner","present",NA,"p3","singular","feminin","action","indicative","El_ab@dOn","Elab@dOn","E-la-b@-dOn"
"5","nous abandonnons","abandonner","present",NA,"p1","plural","common","action","indicative","nus_ab@don§","nusab@don§","nu-sa-b@-do-n§"
"6","vous abandonnez","abandonner","present",NA,"p2","plural","common","action","indicative","vus_ab@done","vusab@done","vu-sa-b@-do-ne"
"7","ils abandonnent","abandonner","present",NA,"p3","plural","masculin","action","indicative","ils_ab@dOn","ilsab@dOn","il-sa-b@-dOn"
"8","elles abandonnent","abandonner","present",NA,"p3","plural","feminin","action","indicative","Els_ab@dOn","Elsab@dOn","El-sa-b@-dOn"
"9","j'abandonnais","abandonner","past","imperfective","p1","singular","common","action","indicative","Z_ab@donE","Zab@donE","Za-b@-do-nE"
"10","tu abandonnais","abandonner","past","imperfective","p2","singular","common","action","indicative","ty_ab@donE","tyab@donE","ty-a-b@-do-nE"
"11","il abandonnait","abandonner","past","imperfective","p3","singular","masculin","action","indicative","il_ab@donE","ilab@donE","i-la-b@-do-nE"
"12","elle abandonnait","abandonner","past","imperfective","p3","singular","feminin","action","indicative","El_ab@donE","Elab@donE","E-la-b@-do-nE"
"13","nous abandonnions","abandonner","past","imperfective","p1","plural","common","action","indicative","nus_ab@donj§","nusab@donj§","nu-sa-b@-don-j§"
"14","vous abandonniez","abandonner","past","imperfective","p2","plural","common","action","indicative","vus_ab@donje","vusab@donje","vu-sa-b@-don-je"
"15","ils abandonnaient","abandonner","past","imperfective","p3","plural","masculin","action","indicative","ils_ab@donE","ilsab@donE","il-sa-b@-do-nE"
"16","elles abandonnaient","abandonner","past","imperfective","p3","plural","feminin","action","indicative","Els_ab@donE","Elsab@donE","El-sa-b@-do-nE"
"17","j'abandonnai","abandonner","past","perfective","p1","singular","common","action","indicative","Z_ab@donE","Zab@donE","Za-b@-do-nE"
"18","tu abandonnas","abandonner","past","perfective","p2","singular","common","action","indicative","ty_ab@dona","tyab@dona","ty-a-b@-do-na"
"19","il abandonna","abandonner","past","perfective","p3","singular","masculin","action","indicative","il_ab@dona","ilab@dona","i-la-b@-do-na"
"20","elle abandonna","abandonner","past","perfective","p3","singular","feminin","action","indicative","El_ab@dona","Elab@dona","E-la-b@-do-na"
"21","nous abandonnâmes","abandonner","past","perfective","p1","plural","common","action","indicative","nus_ab@donam","nusab@donam","nu-sa-b@-do-nam"
"22","vous abandonnâtes","abandonner","past","perfective","p2","plural","common","action","indicative","vus_ab@donat","vusab@donat","vu-sa-b@-do-nat"
"23","ils abandonnèrent","abandonner","past","perfective","p3","plural","masculin","action","indicative","ils_ab@donER","ilsab@donER","il-sa-b@-do-nER"
"24","elles abandonnèrent","abandonner","past","perfective","p3","plural","feminin","action","indicative","Els_ab@donER","Elsab@donER","El-sa-b@-do-nER"
"25","j'abandonnerai","abandonner","futur",NA,"p1","singular","common","action","indicative","Z_ab@dOn°RE","Zab@dOn°RE","Za-b@-dO-n°-RE"
"26","tu abandonneras","abandonner","futur",NA,"p2","singular","common","action","indicative","ty_ab@dOn°Ra","tyab@dOn°Ra","ty-a-b@-dO-n°-Ra"
"27","il abandonnera","abandonner","futur",NA,"p3","singular","masculin","action","indicative","il_ab@dOn°Ra","ilab@dOn°Ra","i-la-b@-dO-n°-Ra"
"28","elle abandonnera","abandonner","futur",NA,"p3","singular","feminin","action","indicative","El_ab@dOn°Ra","Elab@dOn°Ra","E-la-b@-dO-n°-Ra"
"29","nous abandonnerons","abandonner","futur",NA,"p1","plural","common","action","indicative","nus_ab@dOn°R§","nusab@dOn°R§","nu-sa-b@-dO-n°-R§"
"30","vous abandonnerez","abandonner","futur",NA,"p2","plural","common","action","indicative","vus_ab@dOn°Re","vusab@dOn°Re","vu-sa-b@-dO-n°-Re"
"31","ils abandonneront","abandonner","futur",NA,"p3","plural","masculin","action","indicative","ils_ab@dOn°R§","ilsab@dOn°R§","il-sa-b@-dO-n°-R§"
"32","elles abandonneront","abandonner","futur",NA,"p3","plural","feminin","action","indicative","Els_ab@dOn°R§","Elsab@dOn°R§","El-sa-b@-dO-n°-R§"
"33","j'ai abandonné","abandonner","present","perfect","p1","singular","common","action","indicative","ZE_ab@done","ZEab@done","ZE-a-b@-do-ne"
"34","tu as abandonné","abandonner","present","perfect","p2","singular","common","action","indicative","tya_ab@done","tyaab@done","ty-a-a-b@-do-ne"
