"","Word","Lexeme","Person","Number","Tense","Voice","Mood"
"1","vocoo","vocare","p1","sg","present","active","ind"
"2","vocaas","vocare","p2","sg","present","active","ind"
"3","vocat","vocare","p3","sg","present","active","ind"
"4","vocaamus","vocare","p1","pl","present","active","ind"
"5","vocaatis","vocare","p2","pl","present","active","ind"
"6","vocant","vocare","p3","pl","present","active","ind"
"7","clamoo","clamare","p1","sg","present","active","ind"
"8","clamaas","clamare","p2","sg","present","active","ind"
"9","clamat","clamare","p3","sg","present","active","ind"
"10","clamaamus","clamare","p1","pl","present","active","ind"
"11","clamaatis","clamare","p2","pl","present","active","ind"
"12","clamant","clamare","p3","pl","present","active","ind"
"13","vocaabam","vocare","p1","sg","past","active","ind"
"14","vocaabaas","vocare","p2","sg","past","active","ind"
"15","vocaabat","vocare","p3","sg","past","active","ind"
"16","vocaabaamus","vocare","p1","pl","past","active","ind"
"17","vocaabaatis","vocare","p2","pl","past","active","ind"
"18","vocaabant","vocare","p3","pl","past","active","ind"
"19","clamaabam","clamare","p1","sg","past","active","ind"
"20","clamaabaas","clamare","p2","sg","past","active","ind"
"21","clamaabat","clamare","p3","sg","past","active","ind"
"22","clamaabaamus","clamare","p1","pl","past","active","ind"
"23","clamaabaatis","clamare","p2","pl","past","active","ind"
"24","clamaabant","clamare","p3","pl","past","active","ind"
"25","terreoo","terrere","p1","sg","present","active","ind"
"26","terrees","terrere","p2","sg","present","active","ind"
"27","terret","terrere","p3","sg","present","active","ind"
"28","terreemus","terrere","p1","pl","present","active","ind"
"29","terreetis","terrere","p2","pl","present","active","ind"
"30","terrent","terrere","p3","pl","present","active","ind"
"31","doceoo","docere","p1","sg","present","active","ind"
"32","docees","docere","p2","sg","present","active","ind"
"33","docet","docere","p3","sg","present","active","ind"
"34","doceemus","docere","p1","pl","present","active","ind"
"35","doceetis","docere","p2","pl","present","active","ind"
"36","docent","docere","p3","pl","present","active","ind"
"37","terreebam","terrere","p1","sg","past","active","ind"
"38","terreebaas","terrere","p2","sg","past","active","ind"
"39","terreebat","terrere","p3","sg","past","active","ind"
"40","terreebaamus","terrere","p1","pl","past","active","ind"
"41","terreebaatis","terrere","p2","pl","past","active","ind"
"42","terreebant","terrere","p3","pl","past","active","ind"
"43","doceebam","docere","p1","sg","past","active","ind"
"44","doceebaas","docere","p2","sg","past","active","ind"
"45","doceebat","docere","p3","sg","past","active","ind"
"46","doceebaamus","docere","p1","pl","past","active","ind"
"47","doceebaatis","docere","p2","pl","past","active","ind"
"48","doceebant","docere","p3","pl","past","active","ind"
"49","audioo","audire","p1","sg","present","active","ind"
"50","audiis","audire","p2","sg","present","active","ind"
"51","audit","audire","p3","sg","present","active","ind"
"52","audiimus","audire","p1","pl","present","active","ind"
"53","audiitis","audire","p2","pl","present","active","ind"
"54","audiunt","audire","p3","pl","present","active","ind"
"55","sapioo","sapire","p1","sg","present","active","ind"
"56","sapiis","sapire","p2","sg","present","active","ind"
"57","sapit","sapire","p3","sg","present","active","ind"
"58","sapiimus","sapire","p1","pl","present","active","ind"
"59","sapiitis","sapire","p2","pl","present","active","ind"
"60","sapiunt","sapire","p3","pl","present","active","ind"
"61","audieebam","audire","p1","sg","past","active","ind"
"62","audieebaas","audire","p2","sg","past","active","ind"
"63","audieebat","audire","p3","sg","past","active","ind"
"64","audieebaamus","audire","p1","pl","past","active","ind"
"65","audieebaatis","audire","p2","pl","past","active","ind"
"66","audieebant","audire","p3","pl","past","active","ind"
"67","sapieebam","sapire","p1","sg","past","active","ind"
"68","sapieebaas","sapire","p2","sg","past","active","ind"
"69","sapieebat","sapire","p3","sg","past","active","ind"
"70","sapieebaamus","sapire","p1","pl","past","active","ind"
"71","sapieebaatis","sapire","p2","pl","past","active","ind"
"72","sapieebant","sapire","p3","pl","past","active","ind"
"73","carpoo","carpere","p1","sg","present","active","ind"
"74","carpis","carpere","p2","sg","present","active","ind"
"75","carpit","carpere","p3","sg","present","active","ind"
"76","carpimus","carpere","p1","pl","present","active","ind"
"77","carpitis","carpere","p2","pl","present","active","ind"
"78","carpunt","carpere","p3","pl","present","active","ind"
"79","curroo","currere","p1","sg","present","active","ind"
"80","curris","currere","p2","sg","present","active","ind"
"81","currit","currere","p3","sg","present","active","ind"
"82","currimus","currere","p1","pl","present","active","ind"
"83","curritis","currere","p2","pl","present","active","ind"
"84","currunt","currere","p3","pl","present","active","ind"
"85","carpeebam","carpere","p1","sg","past","active","ind"
"86","carpeebas","carpere","p2","sg","past","active","ind"
"87","carpeebat","carpere","p3","sg","past","active","ind"
"88","carpeebaamus","carpere","p1","pl","past","active","ind"
"89","carpeebaatis","carpere","p2","pl","past","active","ind"
"90","carpeebant","carpere","p3","pl","past","active","ind"
"91","curreebam","currere","p1","sg","past","active","ind"
"92","curreebas","currere","p2","sg","past","active","ind"
"93","curreebat","currere","p3","sg","past","active","ind"
